name,price,rating
"Walker's American Rye Whisky 1925
Bot.1930s","£1,350",no rating
"Biltmore Pure Rye Whiskey
Bot.1920s Hiram Walker","£1,500",no rating
"Very Old Fitzgerald 1948
8 Year Old Bot.1956","£3,500",no rating
"Boondocks 11 Year Old
Cask Strength",£62.45,no rating
"Old Fitzgerald's 1849
10 Year Old Bot.1960s","£2,750",no rating
"Very Xtra Old Fitzgerald 1959
10 Year Old Bot.1969 Glass Pack","£4,000",no rating
"Very Old Fitzgerald 1942
8 Year Old Bot.1950","£4,000",no rating
"Catoctin Creek Roundstone Rye
Cask Strength",£79.95,5
"Catoctin Creek Roundstone Rye
80 Proof",£36.95,5
Van Brunt Stillhouse Rye Spirit,£59.75,no rating
Van Brunt Stillhouse American Whiskey,£57.95,no rating
"Very Very Old Fitzgerald 1953
12 Year Old Bot.1965","£5,500",no rating
Wildcatter 8 Year Old,£54.95,no rating
"Old Fitzgerald 6 Year Old
Bot.1960s","£1,750",no rating
"WhistlePig 12 Year Old Marriage
Old World Cask Finish",£175,5
"Sonoma County Black Truffle Rye
Half Bottle",£86.45,5
"Very Old Fitzgerald 1951
8 Year Old Bot.1959","£3,250",no rating
Few Flaming Lips Brainville Rye,£145,no rating
"Henebery Whiskey
Infused With Spices",£67.75,5
Westland Sherry Wood Single Malt,£68.95,no rating
Westland Peated Single Malt,£68.95,no rating
"Midnight Moon Raspberry Moonshine
Junior Johnson's",£30.25,5
Rebel Yell Small Batch Reserve Bourbon,£35.25,no rating
Ezra Brooks Black Label Bourbon,£25.95,no rating
"Very Very Old Fitzgerald 1957
12 Year Old Bot.1970","£5,000",no rating
Rough Rider Bull Moose Three Barrel Rye,£59.95,5
Koval Rye Whiskey,£45.95,no rating
James Oliver Rye,£49.95,5
"Very Xtra Old Fitzgerald 1956
10 Year Old Bot.1966","£4,000",no rating
Pow-wow Botanical Rye Whiskey,£70.75,5
"Very Very Old Fitzgerald 12 Year Old
Bot.1980s 50% 75cl","£2,500",no rating
"Jack Daniel's Old No.7
Half Litre",£20.45,no rating
"Jack Daniel's Old No. 7
Small Bottle",£9.95,no rating
"Very Xtra Old Fitzgerald 1958
10 Year Old Bot.1969","£4,000",no rating
"Jack Daniel's 1955
5 Year Old Bot.1960","£4,500",no rating
Buffalo Trace White Dog 3 Bottle Set,£79.95,no rating
"Old Fitzgerald 1957
6 Year Old Bot.1963","£1,750",no rating
"Buffalo Trace White Dog Mash 1
Half Bottle",£26.25,5
Bourbon Deluxe 4 Year Old,£32.95,no rating
"Jack Daniel's Old No.7
Half Bottle",£14.95,no rating
Jack Daniel's Scenes from Lynchburg No.7,£399,no rating
